 1.00000000000000E-03  4.89616393758187E-01  5.22295784629778E-01  5.22295784629778E-01  5.22295784629778E-01  5.22295784629778E-01  5.22295784629778E-01  5.22295784629778E-01  5.22295784629778E-01  5.22295784629778E-01  5.22295784629778E-01  5.22295784629778E-01  5.22295784629778E-01
 1.00138250583710E-03  4.89398858355912E-01  5.22100606828216E-01  5.22100606828216E-01  5.22100606828216E-01  5.22100606828216E-01  5.22100606828216E-01  5.22100606828216E-01  5.22100606828216E-01  5.22100606828216E-01  5.22100606828216E-01  5.22100606828216E-01  5.22100606828216E-01
 1.00276692299659E-03  4.89180788521435E-01  5.21904909888860E-01  5.21904909888860E-01  5.21904909888860E-01  5.21904909888860E-01  5.21904909888860E-01  5.21904909888860E-01  5.21904909888860E-01  5.21904909888860E-01  5.21904909888860E-01  5.21904909888860E-01  5.21904909888860E-01
 1.00415325412088E-03  4.88962183620028E-01  5.21708693187446E-01  5.21708693187446E-01  5.21708693187446E-01  5.21708693187446E-01  5.21708693187446E-01  5.21708693187446E-01  5.21708693187446E-01  5.21708693187446E-01  5.21708693187446E-01  5.21708693187446E-01  5.21708693187446E-01
 1.00554150185604E-03  4.88743043016342E-01  5.21511956099093E-01  5.21511956099093E-01  5.21511956099093E-01  5.21511956099093E-01  5.21511956099093E-01  5.21511956099093E-01  5.21511956099093E-01  5.21511956099093E-01  5.21511956099093E-01  5.21511956099093E-01  5.21511956099093E-01
 1.00693166885180E-03  4.88523366074406E-01  5.21314697998305E-01  5.21314697998305E-01  5.21314697998305E-01  5.21314697998305E-01  5.21314697998305E-01  5.21314697998305E-01  5.21314697998305E-01  5.21314697998305E-01  5.21314697998305E-01  5.21314697998305E-01  5.21314697998305E-01
 1.00832375776155E-03  4.88303152157624E-01  5.21116918258971E-01  5.21116918258971E-01  5.21116918258971E-01  5.21116918258971E-01  5.21116918258971E-01  5.21116918258971E-01  5.21116918258971E-01  5.21116918258971E-01  5.21116918258971E-01  5.21116918258971E-01  5.21116918258971E-01
 1.00971777124234E-03  4.88082400628778E-01  5.20918616254361E-01  5.20918616254361E-01  5.20918616254361E-01  5.20918616254361E-01  5.20918616254361E-01  5.20918616254361E-01  5.20918616254361E-01  5.20918616254361E-01  5.20918616254361E-01  5.20918616254361E-01  5.20918616254361E-01
 1.01111371195491E-03  4.87861110850025E-01  5.20719791357130E-01  5.20719791357130E-01  5.20719791357130E-01  5.20719791357130E-01  5.20719791357130E-01  5.20719791357130E-01  5.20719791357130E-01  5.20719791357130E-01  5.20719791357130E-01  5.20719791357130E-01  5.20719791357130E-01
 1.01251158256365E-03  4.87639282182898E-01  5.20520442939316E-01  5.20520442939316E-01  5.20520442939316E-01  5.20520442939316E-01  5.20520442939316E-01  5.20520442939316E-01  5.20520442939316E-01  5.20520442939316E-01  5.20520442939316E-01  5.20520442939316E-01  5.20520442939316E-01
