 1.00000000000000E-03 -1.40790466044939E-05  6.27112389597972E-05  6.27112389597972E-05  6.27112389597972E-05  6.27112389597972E-05  6.27112389597972E-05  6.27112389597972E-05  6.27112389597972E-05  6.27112389597972E-05  6.27112389597972E-05
 1.00138250583710E-03 -1.40864419767554E-05  6.27612557915068E-05  6.27612557915068E-05  6.27612557915068E-05  6.27612557915068E-05  6.27612557915068E-05  6.27612557915068E-05  6.27612557915068E-05  6.27612557915068E-05  6.27612557915068E-05
 1.00276692299659E-03 -1.40938408468779E-05  6.28113118032422E-05  6.28113118032422E-05  6.28113118032422E-05  6.28113118032422E-05  6.28113118032422E-05  6.28113118032422E-05  6.28113118032422E-05  6.28113118032422E-05  6.28113118032422E-05
 1.00415325412088E-03 -1.41012432161643E-05  6.28614070252681E-05  6.28614070252681E-05  6.28614070252681E-05  6.28614070252681E-05  6.28614070252681E-05  6.28614070252681E-05  6.28614070252681E-05  6.28614070252681E-05  6.28614070252681E-05
 1.00554150185604E-03 -1.41086490859177E-05  6.29115414878726E-05  6.29115414878726E-05  6.29115414878726E-05  6.29115414878726E-05  6.29115414878726E-05  6.29115414878726E-05  6.29115414878726E-05  6.29115414878726E-05  6.29115414878726E-05
 1.00693166885180E-03 -1.41160584574412E-05  6.29617152213666E-05  6.29617152213666E-05  6.29617152213666E-05  6.29617152213666E-05  6.29617152213666E-05  6.29617152213666E-05  6.29617152213666E-05  6.29617152213666E-05  6.29617152213666E-05
 1.00832375776155E-03 -1.41234713320379E-05  6.30119282560844E-05  6.30119282560844E-05  6.30119282560844E-05  6.30119282560844E-05  6.30119282560844E-05  6.30119282560844E-05  6.30119282560844E-05  6.30119282560844E-05  6.30119282560844E-05
 1.00971777124234E-03 -1.41308877110112E-05  6.30621806223836E-05  6.30621806223836E-05  6.30621806223836E-05  6.30621806223836E-05  6.30621806223836E-05  6.30621806223836E-05  6.30621806223836E-05  6.30621806223836E-05  6.30621806223836E-05
 1.01111371195491E-03 -1.41383075956647E-05  6.31124723506445E-05  6.31124723506445E-05  6.31124723506445E-05  6.31124723506445E-05  6.31124723506445E-05  6.31124723506445E-05  6.31124723506445E-05  6.31124723506445E-05  6.31124723506445E-05
 1.01251158256365E-03 -1.41457309873019E-05  6.31628034712712E-05  6.31628034712712E-05  6.31628034712712E-05  6.31628034712712E-05  6.31628034712712E-05  6.31628034712712E-05  6.31628034712712E-05  6.31628034712712E-05  6.31628034712712E-05
 1.01391138573668E-03 -1.41531578872266E-05  6.32131740146906E-05  6.32131740146906E-05  6.32131740146906E-05  6.32131740146906E-05  6.32131740146906E-05  6.32131740146906E-05  6.32131740146906E-05  6.32131740146906E-05  6.32131740146906E-05
 1.01531312414576E-03 -1.41605882967427E-05  6.32635840113530E-05  6.32635840113530E-05  6.32635840113530E-05  6.32635840113530E-05  6.32635840113530E-05  6.32635840113530E-05  6.32635840113530E-05  6.32635840113530E-05  6.32635840113530E-05
 1.01671680046638E-03 -1.41680222171542E-05  6.33140334917319E-05  6.33140334917319E-05  6.33140334917319E-05  6.33140334917319E-05  6.33140334917319E-05  6.33140334917319E-05  6.33140334917319E-05  6.33140334917319E-05  6.33140334917319E-05
 1.01812241737770E-03 -1.41754596497653E-05  6.33645224863241E-05  6.33645224863241E-05  6.33645224863241E-05  6.33645224863241E-05  6.33645224863241E-05  6.33645224863241E-05  6.33645224863241E-05  6.33645224863241E-05  6.33645224863241E-05
 1.01952997756260E-03 -1.41829005958801E-05  6.34150510256498E-05  6.34150510256498E-05  6.34150510256498E-05  6.34150510256498E-05  6.34150510256498E-05  6.34150510256498E-05  6.34150510256498E-05  6.34150510256498E-05  6.34150510256498E-05
 1.02093948370768E-03 -1.41903450568031E-05  6.34656191402524E-05  6.34656191402524E-05  6.34656191402524E-05  6.34656191402524E-05  6.34656191402524E-05  6.34656191402524E-05  6.34656191402524E-05  6.34656191402524E-05  6.34656191402524E-05
 1.02235093850323E-03 -1.41977930338387E-05  6.35162268606985E-05  6.35162268606985E-05  6.35162268606985E-05  6.35162268606985E-05  6.35162268606985E-05  6.35162268606985E-05  6.35162268606985E-05  6.35162268606985E-05  6.35162268606985E-05
 1.02376434464327E-03 -1.42052445282917E-05  6.35668742175784E-05  6.35668742175784E-05  6.35668742175784E-05  6.35668742175784E-05  6.35668742175784E-05  6.35668742175784E-05  6.35668742175784E-05  6.35668742175784E-05  6.35668742175784E-05
 1.02517970482556E-03 -1.42126995414667E-05  6.36175612415055E-05  6.36175612415055E-05  6.36175612415055E-05  6.36175612415055E-05  6.36175612415055E-05  6.36175612415055E-05  6.36175612415055E-05  6.36175612415055E-05  6.36175612415055E-05
 1.02659702175155E-03 -1.42201580746687E-05  6.36682879631166E-05  6.36682879631166E-05  6.36682879631166E-05  6.36682879631166E-05  6.36682879631166E-05  6.36682879631166E-05  6.36682879631166E-05  6.36682879631166E-05  6.36682879631166E-05
 1.02801629812647E-03 -1.42276201292026E-05  6.37190544130718E-05  6.37190544130718E-05  6.37190544130718E-05  6.37190544130718E-05  6.37190544130718E-05  6.37190544130718E-05  6.37190544130718E-05  6.37190544130718E-05  6.37190544130718E-05
 1.02943753665927E-03 -1.42350857063736E-05  6.37698606220550E-05  6.37698606220550E-05  6.37698606220550E-05  6.37698606220550E-05  6.37698606220550E-05  6.37698606220550E-05  6.37698606220550E-05  6.37698606220550E-05  6.37698606220550E-05
