 1.00000000000000E-03  0.00000000000000E+00  2.99252870402861E-04  3.49495852328394E-02  4.28185612839413E-02  4.28185612839413E-02  4.28185612839413E-02  4.28185612839413E-02
 1.00138250583710E-03  0.00000000000000E+00  2.99459658376201E-04  3.49737358914100E-02  4.28466235912913E-02  4.28466235912913E-02  4.28466235912913E-02  4.28466235912913E-02
 1.00276692299659E-03  0.00000000000000E+00  2.99666589242961E-04  3.49979032384279E-02  4.28747042356574E-02  4.28747042356574E-02  4.28747042356574E-02  4.28747042356574E-02
 1.00415325412088E-03  0.00000000000000E+00  2.99873663101882E-04  3.50220872854250E-02  4.29028032289820E-02  4.29028032289820E-02  4.29028032289820E-02  4.29028032289820E-02
 1.00554150185604E-03  0.00000000000000E+00  3.00080880051773E-04  3.50462880439413E-02  4.29309205832155E-02  4.29309205832155E-02  4.29309205832155E-02  4.29309205832155E-02
 1.00693166885180E-03  0.00000000000000E+00  3.00288240191513E-04  3.50705055255245E-02  4.29590563103158E-02  4.29590563103158E-02  4.29590563103158E-02  4.29590563103158E-02
 1.00832375776155E-03  0.00000000000000E+00  3.00495743620046E-04  3.50947397417307E-02  4.29872104222488E-02  4.29872104222488E-02  4.29872104222488E-02  4.29872104222488E-02
 1.00971777124234E-03  0.00000000000000E+00  3.00703390436389E-04  3.51189907041236E-02  4.30153829309879E-02  4.30153829309879E-02  4.30153829309879E-02  4.30153829309879E-02
 1.01111371195491E-03  0.00000000000000E+00  3.00911180739624E-04  3.51432584242751E-02  4.30435738485144E-02  4.30435738485144E-02  4.30435738485144E-02  4.30435738485144E-02
 1.01251158256365E-03  0.00000000000000E+00  3.01119114628903E-04  3.51675429137650E-02  4.30717831868174E-02  4.30717831868174E-02  4.30717831868174E-02  4.30717831868174E-02
 1.01391138573668E-03  0.00000000000000E+00  3.01327192203445E-04  3.51918441841813E-02  4.31000109578939E-02  4.31000109578939E-02  4.31000109578939E-02  4.31000109578939E-02
 1.01531312414576E-03  0.00000000000000E+00  3.01535413562540E-04  3.52161622471198E-02  4.31282571737484E-02  4.31282571737484E-02  4.31282571737484E-02  4.31282571737484E-02
 1.01671680046638E-03  0.00000000000000E+00  3.01743778805543E-04  3.52404971141842E-02  4.31565218463933E-02  4.31565218463933E-02  4.31565218463933E-02  4.31565218463933E-02
 1.01812241737770E-03  0.00000000000000E+00  3.01952288031882E-04  3.52648487969866E-02  4.31848049878488E-02  4.31848049878488E-02  4.31848049878488E-02  4.31848049878488E-02
